Customer_ID,RFM_Segment,Cluster_Name,Monetary,Predicted_CLV,CLV_6_Month,Churn_Probability,Customer_Value_Score
CUS001268,Big Spenders,New/One-time Buyers,254675000.0,254631765.77000648,127315882.88500324,0.9797848010519078,66.60645596844276
CUS001953,Champions,Loyal High-Value,117166200.0,117152761.18403432,58576380.59201716,0.9260170295697427,50.62296847924119
CUS000904,Champions,Loyal High-Value,96967052.0,96947345.13250658,48473672.56625329,0.012354174780478176,74.85879357467189
CUS002931,Champions,Loyal High-Value,66305029.74,66276303.413744144,33138151.706872072,0.03098861911176162,69.48165883841227
CUS001028,Champions,Loyal High-Value,60028964.38,60016059.64398481,30008029.821992405,0.007629840928417868,69.19900304909594
CUS000867,Champions,Loyal High-Value,49098000.0,43948554.136460416,21974277.068230208,0.0045162129371021965,64.76837401650849
CUS000336,Champions,Loyal High-Value,32914248.5,32904086.606082886,16452043.303041443,0.018430494639758516,64.61597467568468
CUS001890,Champions,Loyal High-Value,31480199.97,31438391.00136186,15719195.50068093,0.007841905636609466,64.70338682236007
CUS001577,Champions,Loyal High-Value,29770202.57,29748915.282614313,14874457.641307157,0.014018423846171427,64.2526922260154
CUS002728,Champions,Loyal High-Value,16404156.34,29344878.72504057,14672439.362520285,0.007149318631509017,64.39529544478243
CUS002938,Champions,Loyal High-Value,27937000.0,27908969.249017216,13954484.624508608,0.999622670024058,30.395528470368436
CUS001382,Champions,Dormant Veterans,27586429.98,27587685.779376645,13793842.889688322,0.0249978237924745,63.58380356839987
CUS001157,Champions,Dormant Veterans,26773000.0,26730847.750100914,13365423.875050457,0.999812466903936,30.204763939283357
CUS001538,Champions,Loyal High-Value,22935998.81,22924099.381429017,11462049.690714508,0.018093976336292627,63.05831811114732
CUS001628,Champions,Loyal High-Value,21641465.48,21632115.777696334,10816057.888848167,0.035773306300966284,62.32498103601572
CUS000850,Champions,Loyal High-Value,9830299.85,20309682.570805922,10154841.285402961,0.007701734861430877,62.95938768729711
CUS000673,Champions,Loyal High-Value,20168420.96,20148465.20344087,10074232.601720436,0.9997055982575183,31.173946215075297
